product_description,store,Sum_dollar_sales,Per_Female_21,Per_male_21,Per_age_21_below,Per_age_22_34,Per_age_35_44,per_age_45_54,per_age_55_64,Per_age_65_above,Per_income_low,Per_income_mid,Per_income_High,Per_asian_21_plus,Per_Hisp_21_plus,Per_AFAM_21_plus,Per_white_21_plus,store_zip_code,Total_Sales_in_the_TA,Product_dollar_sales,Cumm_Sales,Sales_contribution,target_variable
AJ BUTTERMILK PANCAKE MIX,97,318.64,0.484689602,0.515310398,0.273438354,0.304179482,0.136141512,9.97E-02,7.30E-02,8.79E-02,0.159138811,0.168662472,6.02E-02,6.21E-02,3.54E-02,0.382351564,0.247224868,30318,318.64,95924.56,110236.99,1.149205063,0
AJ BUTTERMILK PANCAKE MIX,82,318.45,0.482873851,0.517126149,0.335738069,0.263890816,0.170227525,0.106392203,6.72E-02,4.94E-02,0.155417592,0.15559101,1.05E-02,7.86E-02,0.344530383,0.172083102,0.206853496,30093,318.45,95924.56,110555.44,1.152524859,0
AJ BUTTERMILK PANCAKE MIX,307,317.84,0.517682944,0.482317056,0.263453509,0.202666328,0.125262288,0.121998262,0.126300841,0.158729149,0.17769865,0.210296518,1.97E-02,4.51E-02,7.58E-02,0.10438524,0.543205952,40214,317.84,95924.56,110873.28,1.155838296,0
AJ BUTTERMILK PANCAKE MIX,273,314.65,0.53090269,0.46909731,0.267911052,0.169906487,0.129371917,0.125506222,0.132354024,0.174729401,0.13544658,0.240483028,1.61E-02,6.30E-03,1.77E-02,8.11E-02,0.627457477,40258,314.65,95924.56,111187.93,1.159118478,0
AJ BUTTERMILK PANCAKE MIX,146,314.44,0.522203637,0.477796363,0.343894927,0.161008249,0.159627571,0.129642086,9.94E-02,0.103975643,7.16E-02,0.224342408,5.53E-02,1.79E-02,4.86E-02,7.87E-02,0.52918894,31324,314.44,95924.56,111502.37,1.162396471,0
AJ BUTTERMILK PANCAKE MIX,237,313.55,0.565388465,0.434611535,0.29382373,0.20773618,0.11947938,0.123988496,0.12469533,0.127863898,0.181632056,0.17895096,1.46E-02,6.51E-03,3.76E-02,0.479599298,0.17860973,37207,313.55,95924.56,111815.92,1.165665185,0
AJ BUTTERMILK PANCAKE MIX,195,313.3,0.523043537,0.476956463,0.275476958,0.179517936,0.125930008,0.139416141,0.124681893,0.152821228,0.122088405,0.202972785,4.46E-02,7.80E-03,5.73E-02,0.176259867,0.495631595,30263,313.3,95924.56,112129.22,1.168931294,0
AJ BUTTERMILK PANCAKE MIX,134,311.72,0.511822258,0.488177742,0.257398017,0.222634274,0.124322006,0.113600242,0.117157345,0.15853074,0.152753601,0.18549913,3.10E-02,1.89E-02,3.85E-02,0.341809834,0.346704004,31405,311.72,95924.56,112440.94,1.172180931,0
AJ BUTTERMILK PANCAKE MIX,213,309.07,0.508581496,0.491418504,0.296835038,0.180786445,0.117447251,0.117087596,0.118566176,0.16699968,0.160685742,0.185941496,1.07E-02,4.44E-03,0.111612852,7.84E-02,0.529891304,30125,309.07,95924.56,112750.01,1.175402942,0
AJ BUTTERMILK PANCAKE MIX,308,306.91,0.529447025,0.470552975,0.220216185,0.199941572,0.118083552,0.114694712,0.138504236,0.21121823,0.125503944,0.269266725,4.07E-02,3.26E-02,4.31E-02,0.117732983,0.599824715,40220,306.91,95924.56,113056.92,1.178602435,0
AJ BUTTERMILK PANCAKE MIX,353,306.44,0.521719081,0.478280919,0.288295236,0.107743555,0.118442428,0.157988874,0.150145222,0.18010863,2.70E-02,0.163075762,0.168572882,4.94E-02,1.36E-02,2.58E-02,0.622979603,37027,306.44,95924.56,113363.36,1.181797029,0
AJ BUTTERMILK PANCAKE MIX,43,305.83,0.502223328,0.497776672,0.274619931,0.183019804,0.134095728,0.150584202,0.133373934,0.122276357,8.85E-02,0.224432715,3.57E-02,2.13E-02,8.22E-02,8.47E-02,0.569359859,30102,305.83,95924.56,113669.19,1.184985263,0
AJ BUTTERMILK PANCAKE MIX,33,304.69,0.517679368,0.482320632,0.22777428,0.238841579,0.142913947,0.118592399,0.113423241,0.158852182,0.126843169,0.272341695,4.75E-02,3.45E-02,4.78E-02,4.24E-02,0.656052222,37923,304.69,95924.56,113973.88,1.188161614,0
AJ BUTTERMILK PANCAKE MIX,276,303.7,0.513702205,0.486297795,0.276768439,0.139556101,0.143881837,0.146571658,0.135560694,0.159533135,6.16E-02,0.244757995,5.77E-02,1.40E-02,1.78E-02,4.14E-02,0.646532333,37122,303.7,95924.56,114277.58,1.191327643,0
AJ BUTTERMILK PANCAKE MIX,381,303.31,0.523662289,0.476337711,0.262053044,0.188768388,0.127912595,0.12308064,0.12039622,0.177601203,0.151186513,0.235638355,1.39E-02,1.24E-02,9.67E-02,0.149065822,0.520965317,40219,303.31,95924.56,114580.89,1.194489607,0
AJ BUTTERMILK PANCAKE MIX,140,303.06,0.528004052,0.471995948,0.285473024,0.181368558,0.145993546,0.14249525,0.124883139,0.121234054,0.126783075,0.198498145,7.92E-02,7.63E-02,0.111794686,0.178141681,0.396543925,30092,303.06,95924.56,114883.95,1.197648965,0
AJ BUTTERMILK PANCAKE MIX,368,302.82,0.537981651,0.462018349,0.270326193,0.215408958,0.170618306,0.11728335,0.100194742,0.1280185,0.102507303,0.249805258,7.28E-02,4.53E-02,3.07E-02,8.61E-02,0.568184031,40509,302.82,95924.56,115186.77,1.200805821,0
